n,bubble,insertion,selection,merge,quick,std_sort,hybrid
56,2.3198e-05,5.48142e-06,1.25803e-05,2.03673e-05,5.30138e-06,6.82877e-06,4.66221e-06
57,2.76482e-05,2.88585e-05,5.10422e-05,2.64109e-05,6.61371e-06,1.02137e-05,6.58571e-06
58,3.16202e-05,8.42818e-06,1.86818e-05,3.4557e-05,6.38066e-06,7.3429e-06,4.74523e-06
59,2.47794e-05,6.1416e-06,1.38376e-05,2.34641e-05,5.61446e-06,8.79028e-06,5.03931e-06
60,2.53106e-05,6.39665e-06,1.35685e-05,2.02983e-05,5.76749e-06,7.39292e-06,4.74223e-06
61,2.6906e-05,8.57022e-06,2.18857e-05,2.10225e-05,6.05557e-06,8.05209e-06,4.98629e-06
62,2.79622e-05,6.73675e-06,1.47598e-05,2.25989e-05,5.81651e-06,3.65095e-05,4.89827e-06
63,3.4753e-05,9.69651e-06,1.50549e-05,2.17096e-05,6.04957e-06,8.03208e-06,5.18235e-06
64,2.84354e-05,9.97559e-06,1.84068e-05,2.27809e-05,6.1536e-06,8.16212e-06,5.24135e-06
65,2.87585e-05,7.64698e-06,2.52306e-05,0.000103085,7.77302e-06,1.143e-05,8.17312e-06
66,3.38108e-05,9.61049e-06,2.03293e-05,3.15242e-05,8.22113e-06,1.1664e-05,8.84729e-06
67,3.4583e-05,7.79002e-06,1.68344e-05,2.3241e-05,6.32764e-06,9.02834e-06,8.64624e-06
68,4.25941e-05,8.70126e-06,1.78176e-05,2.3035e-05,6.99382e-06,8.63024e-06,5.55444e-06
69,4.6348e-05,1.04047e-05,1.85138e-05,2.57247e-05,7.05783e-06,8.76027e-06,5.7585e-06
70,3.38148e-05,9.15637e-06,1.99522e-05,2.90625e-05,9.42445e-06,9.66851e-06,6.13059e-06
71,3.75977e-05,8.80828e-06,1.87959e-05,2.51865e-05,6.83577e-06,9.02334e-06,8.79928e-06
72,3.68366e-05,8.81729e-06,1.9268e-05,2.49895e-05,7.03082e-06,9.2544e-06,6.84078e-06
73,4.06556e-05,1.29494e-05,2.04843e-05,2.48524e-05,7.35391e-06,9.38443e-06,6.24863e-06
74,4.05065e-05,1.05597e-05,2.47874e-05,2.85794e-05,7.94606e-06,9.67151e-06,6.1906e-06
75,4.05825e-05,1.04097e-05,2.39932e-05,2.87665e-05,7.61597e-06,9.72954e-06,6.43069e-06
76,4.15889e-05,1.00616e-05,2.14927e-05,2.99579e-05,8.54325e-06,1.17661e-05,8.16014e-06
77,4.09978e-05,1.11869e-05,2.17977e-05,2.71771e-05,7.78905e-06,1.33635e-05,8.95035e-06
78,4.59771e-05,1.1384e-05,2.2858e-05,3.08281e-05,7.92409e-06,1.02357e-05,7.74604e-06
79,4.38865e-05,1.10599e-05,2.2649e-05,2.73822e-05,7.84807e-06,1.03467e-05,7.06286e-06
80,7.86237e-05,1.1365e-05,2.35662e-05,2.97658e-05,8.18115e-06,1.1236e-05,9.01737e-06
81,5.64319e-05,1.11389e-05,2.41613e-05,2.73552e-05,7.9761e-06,1.05518e-05,7.63401e-06
82,5.15556e-05,1.16671e-05,2.43354e-05,2.89706e-05,8.29219e-06,1.07838e-05,6.96284e-06
83,5.00642e-05,1.24703e-05,2.44294e-05,2.93787e-05,8.29419e-06,1.09659e-05,7.11187e-06
84,6.23164e-05,1.26963e-05,2.50776e-05,3.16993e-05,8.54025e-06,1.30154e-05,7.32492e-06
85,5.84164e-05,1.42428e-05,2.60559e-05,3.36249e-05,8.3772e-06,1.1393e-05,7.32293e-06
86,6.25965e-05,1.30504e-05,2.6543e-05,3.24915e-05,8.59926e-06,1.146e-05,7.68402e-06
87,0.000108583,1.24193e-05,3.23695e-05,3.39479e-05,9.04338e-06,1.23903e-05,7.577e-06
88,6.0774e-05,1.29874e-05,2.71121e-05,3.49322e-05,8.96536e-06,1.27153e-05,7.92909e-06
89,5.61818e-05,1.39787e-05,2.87176e-05,3.45651e-05,9.72956e-06,1.35976e-05,1.09259e-05
90,5.07163e-05,1.34445e-05,2.84445e-05,4.37595e-05,9.90061e-06,1.21832e-05,7.9691e-06
91,5.66279e-05,1.46999e-05,3.49242e-05,3.67907e-05,9.4815e-06,1.22382e-05,8.12714e-06
92,5.60988e-05,1.38917e-05,4.06687e-05,3.35648e-05,9.40547e-06,1.22842e-05,8.25317e-06
93,6.39038e-05,1.68914e-05,3.85811e-05,3.51032e-05,9.78357e-06,1.25133e-05,8.35219e-06
94,7.19729e-05,1.84729e-05,3.16553e-05,3.21495e-05,9.43248e-06,1.20482e-05,1.03327e-05
95,7.00814e-05,1.79377e-05,3.12992e-05,3.53683e-05,9.41048e-06,1.56251e-05,9.00237e-06
96,6.63004e-05,1.57961e-05,3.66036e-05,3.46251e-05,1.02497e-05,1.33265e-05,8.66428e-06
97,7.39054e-05,1.5389e-05,3.57434e-05,3.53703e-05,9.1444e-06,1.28454e-05,8.16715e-06
98,8.42372e-05,2.56247e-05,5.65919e-05,4.59301e-05,1.00196e-05,1.41277e-05,1.56251e-05
99,7.17209e-05,1.66894e-05,3.45841e-05,3.73018e-05,1.39497e-05,2.03293e-05,9.0964e-06
100,7.32433e-05,1.72235e-05,4.11718e-05,3.93353e-05,1.06348e-05,1.36656e-05,9.1194e-06
